"ANO","NIVEL","MUNICIPIO","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2015,"MU",291700,240,0,0,27,213,13,24,61,19,96,123,117,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291710,127,0,0,10,117,4,14,37,6,56,71,56,4,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291720,110,0,0,7,103,7,10,39,5,42,49,61,10,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291730,148,0,0,20,128,8,17,43,9,51,84,63,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291733,48,0,0,7,41,1,6,11,3,20,31,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291735,49,0,0,7,42,3,8,13,6,12,31,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291740,100,0,0,7,93,2,20,34,10,27,52,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291750,537,0,0,81,456,24,46,113,29,244,314,223,28,0,6,3,3,0,0,3,0,0,2,0,4,0,1,0,3,0,4,4,0,1,0,1,0,0
2015,"MU",291760,311,0,0,38,273,12,38,58,16,149,175,136,14,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
2015,"MU",291770,217,0,0,25,192,7,14,28,12,131,127,90,10,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291780,85,0,0,18,67,5,10,22,4,26,48,37,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291790,60,0,0,12,48,4,4,15,9,16,40,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291800,1130,0,0,175,955,26,118,168,76,567,645,485,60,0,14,9,5,0,1,0,0,0,11,0,3,1,0,0,1,1,2,2,0,0,1,0,0,0
2015,"MU",291810,213,0,0,28,185,7,33,72,11,62,113,100,18,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0
2015,"MU",291820,88,0,0,10,78,3,12,26,9,28,52,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291830,107,0,0,6,101,8,10,31,8,44,55,52,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291835,126,0,0,21,105,4,19,26,15,41,81,45,6,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291840,1270,0,0,211,1059,54,200,278,99,428,708,562,86,0,22,20,2,0,1,4,0,0,14,0,4,1,0,0,2,1,3,3,0,0,1,1,0,1
2015,"MU",291845,42,0,0,5,37,2,4,6,3,22,27,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291850,103,0,0,14,89,5,15,33,6,30,68,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291855,50,0,0,7,43,4,4,19,3,13,26,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291860,76,0,0,6,70,5,18,26,3,18,43,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291870,24,0,0,4,20,1,1,2,2,14,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291875,66,0,0,5,61,1,17,15,4,24,44,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291880,137,0,0,22,115,2,12,43,10,48,84,53,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0
2015,"MU",291890,32,0,0,4,28,2,3,10,3,10,19,13,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291900,20,0,0,2,18,1,4,6,0,7,8,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291905,52,0,0,3,49,1,4,7,9,28,23,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291910,47,0,0,4,43,1,3,22,1,16,27,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291915,169,0,0,23,146,8,33,42,19,44,95,74,10,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291920,1175,0,0,237,938,67,192,241,123,315,721,454,62,0,11,10,1,0,1,0,0,0,10,0,3,1,0,1,1,0,3,3,0,2,1,0,0,0
2015,"MU",291930,53,0,0,8,45,3,6,19,2,15,37,16,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291940,75,0,0,8,67,2,5,25,12,23,39,36,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291950,215,0,0,30,185,14,34,58,29,50,134,81,3,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291955,264,0,0,97,167,10,20,43,16,78,177,87,30,0,4,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291960,68,0,0,3,65,5,10,15,4,31,34,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291970,96,0,0,6,90,6,8,18,5,53,62,34,7,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291980,243,0,0,26,217,7,32,58,10,110,120,123,15,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291990,43,0,0,3,40,1,5,11,6,17,23,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
