"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"MUNICIPIO","2902500",14195,13850,7162,6688,3874,7250,2726,1904,3395,1389
2015,"MUNICIPIO","2902609",21197,20060,9966,10094,5762,9970,4328,2772,5017,2305
2015,"MUNICIPIO","2902658",13711,11814,5993,5821,3383,6129,2302,1690,2955,1176
2015,"MUNICIPIO","2902708",54188,49325,25160,24165,16963,24698,7664,8416,11831,3918
2015,"MUNICIPIO","2902807",22394,21187,10648,10539,5932,11642,3613,2874,5772,1893
2015,"MUNICIPIO","2902906",34853,34788,17553,17235,9974,18729,6085,4932,9212,3091
2015,"MUNICIPIO","2903003",14526,13987,7012,6975,3796,6716,3475,1855,3306,1814
2015,"MUNICIPIO","2903102",6424,6313,3337,2976,1685,3370,1258,768,1621,587
2015,"MUNICIPIO","2903201",153918,137427,67913,69514,37020,82271,18136,18388,41895,9231
2015,"MUNICIPIO","2903235",15377,13612,6909,6703,3790,7028,2794,1890,3383,1430
2015,"MUNICIPIO","2903276",15770,14191,7218,6973,3819,7998,2374,1873,3891,1209
2015,"MUNICIPIO","2903300",6492,6453,3306,3147,1619,3419,1415,763,1704,680
2015,"MUNICIPIO","2903409",23759,21798,11159,10639,6574,11153,4071,3165,5466,2008
2015,"MUNICIPIO","2903508",18383,16021,8120,7901,4196,8236,3589,2000,4045,1856
2015,"MUNICIPIO","2903607",15799,14836,7553,7283,4077,7750,3009,1940,3797,1546
2015,"MUNICIPIO","2903706",14577,15411,7824,7587,4169,7655,3587,2061,3707,1819
2015,"MUNICIPIO","2903805",18658,17991,9134,8857,5396,9026,3569,2554,4497,1806
2015,"MUNICIPIO","2903904",69526,63480,31676,31804,18522,34486,10472,9148,17206,5450
2015,"MUNICIPIO","2903953",10554,10113,5191,4922,2705,5236,2172,1315,2512,1095
2015,"MUNICIPIO","2904001",14585,13695,6702,6993,3676,6914,3105,1803,3481,1709
2015,"MUNICIPIO","2904050",16873,14834,7521,7313,4940,7910,1984,2431,3853,1029
2015,"MUNICIPIO","2904100",22429,22037,10856,11181,5820,11246,4971,2900,5575,2706
2015,"MUNICIPIO","2904209",11021,11154,5608,5546,2882,5838,2434,1390,2895,1261
2015,"MUNICIPIO","2904308",15214,14282,7114,7168,3706,7681,2895,1845,3785,1538
2015,"MUNICIPIO","2904407",10698,11077,5798,5279,2739,5883,2455,1322,2758,1199
2015,"MUNICIPIO","2904506",11070,10717,5472,5245,2863,4988,2866,1391,2364,1490
2015,"MUNICIPIO","2904605",69255,64602,31747,32855,14896,36236,13470,7340,18334,7181
2015,"MUNICIPIO","2904704",19283,18605,9307,9298,4702,9536,4367,2340,4817,2141
2015,"MUNICIPIO","2904753",21549,19600,10202,9398,6209,10385,3006,3084,4824,1490
2015,"MUNICIPIO","2904803",10166,11420,5992,5428,2997,6238,2185,1428,2934,1066
2015,"MUNICIPIO","2904852",18978,17327,8549,8778,5403,9051,2873,2659,4497,1622
2015,"MUNICIPIO","2904902",34535,32026,15453,16573,8008,18021,5997,3931,9223,3419
2015,"MUNICIPIO","2905008",23545,22236,11137,11099,5093,12024,5119,2491,5911,2697
2015,"MUNICIPIO","2905107",10143,10368,5140,5228,3110,5121,2137,1525,2584,1119
2015,"MUNICIPIO","2905156",15982,13639,7054,6585,3291,7521,2827,1576,3614,1395
