"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2010,"MUNICIPIO",2923035,NA,0.597,NA,NA
2010,"MUNICIPIO",2923050,NA,0.554,NA,NA
2010,"MUNICIPIO",2923100,NA,0.559,NA,NA
2010,"MUNICIPIO",2923209,NA,0.554,NA,NA
2010,"MUNICIPIO",2923308,NA,0.607,NA,NA
2010,"MUNICIPIO",2923357,NA,0.56,NA,NA
2010,"MUNICIPIO",2923407,NA,0.586,NA,NA
2010,"MUNICIPIO",2923506,NA,0.643,NA,NA
2010,"MUNICIPIO",2923605,NA,0.615,NA,NA
2010,"MUNICIPIO",2923704,NA,0.59,NA,NA
2010,"MUNICIPIO",2923803,NA,0.577,NA,NA
2010,"MUNICIPIO",2923902,NA,0.583,NA,NA
2010,"MUNICIPIO",2924009,NA,0.674,NA,NA
2010,"MUNICIPIO",2924058,NA,0.587,NA,NA
2010,"MUNICIPIO",2924108,NA,0.588,NA,NA
2010,"MUNICIPIO",2924207,NA,0.513,NA,NA
2010,"MUNICIPIO",2924306,NA,0.571,NA,NA
2010,"MUNICIPIO",2924405,NA,0.506,NA,NA
2010,"MUNICIPIO",2924504,NA,0.603,NA,NA
2010,"MUNICIPIO",2924603,NA,0.577,NA,NA
2010,"MUNICIPIO",2924652,NA,0.612,NA,NA
2010,"MUNICIPIO",2924678,NA,0.533,NA,NA
2010,"MUNICIPIO",2924702,NA,0.575,NA,NA
2010,"MUNICIPIO",2924801,NA,0.578,NA,NA
2010,"MUNICIPIO",2924900,NA,0.572,NA,NA
2010,"MUNICIPIO",2925006,NA,0.56,NA,NA
2010,"MUNICIPIO",2925105,NA,0.604,NA,NA
2010,"MUNICIPIO",2925204,NA,0.666,NA,NA
2010,"MUNICIPIO",2925253,NA,0.58,NA,NA
2010,"MUNICIPIO",2925303,NA,0.676,NA,NA
2010,"MUNICIPIO",2925402,NA,0.625,NA,NA
2010,"MUNICIPIO",2925501,NA,0.621,NA,NA
2010,"MUNICIPIO",2925600,NA,0.614,NA,NA
2010,"MUNICIPIO",2925709,NA,0.542,NA,NA
2010,"MUNICIPIO",2925758,NA,0.559,NA,NA
2010,"MUNICIPIO",2925808,NA,0.592,NA,NA
2010,"MUNICIPIO",2925907,NA,0.544,NA,NA
2010,"MUNICIPIO",2925931,NA,0.578,NA,NA
2010,"MUNICIPIO",2925956,NA,0.564,NA,NA
2010,"MUNICIPIO",2926004,NA,0.579,NA,NA
2010,"MUNICIPIO",2926103,NA,0.636,NA,NA
2010,"MUNICIPIO",2926202,NA,0.578,NA,NA
2010,"MUNICIPIO",2926301,NA,0.628,NA,NA
2010,"MUNICIPIO",2926400,NA,0.615,NA,NA
2010,"MUNICIPIO",2926509,NA,0.512,NA,NA
2010,"MUNICIPIO",2926608,NA,0.601,NA,NA
2010,"MUNICIPIO",2926657,NA,0.54,NA,NA
2010,"MUNICIPIO",2926707,NA,0.605,NA,NA
2010,"MUNICIPIO",2926806,NA,0.576,NA,NA
2010,"MUNICIPIO",2926905,NA,0.594,NA,NA
2010,"MUNICIPIO",2927002,NA,0.572,NA,NA
2010,"MUNICIPIO",2927101,NA,0.632,NA,NA
2010,"MUNICIPIO",2927200,NA,0.61,NA,NA
2010,"MUNICIPIO",2927309,NA,0.617,NA,NA
2010,"MUNICIPIO",2927408,NA,0.759,NA,NA
2010,"MUNICIPIO",2927507,NA,0.583,NA,NA
2010,"MUNICIPIO",2927606,NA,0.546,NA,NA
2010,"MUNICIPIO",2927705,NA,0.654,NA,NA
2010,"MUNICIPIO",2927804,NA,0.61,NA,NA
2010,"MUNICIPIO",2927903,NA,0.574,NA,NA
2010,"MUNICIPIO",2928059,NA,0.556,NA,NA
2010,"MUNICIPIO",2928109,NA,0.614,NA,NA
2010,"MUNICIPIO",2928406,NA,0.605,NA,NA
2010,"MUNICIPIO",2928505,NA,0.587,NA,NA
2010,"MUNICIPIO",2928000,NA,0.598,NA,NA
2010,"MUNICIPIO",2928208,NA,0.692,NA,NA
2010,"MUNICIPIO",2928307,NA,0.592,NA,NA
2010,"MUNICIPIO",2928604,NA,0.646,NA,NA
2010,"MUNICIPIO",2928703,NA,0.7,NA,NA
2010,"MUNICIPIO",2928802,NA,0.626,NA,NA
2010,"MUNICIPIO",2928901,NA,0.579,NA,NA
